start,end,text,duration_minutes,encoded_text
278924,300053,"I mean, Sakita's not known for his devastating serving, but sometimes it's about placement.It doesn't have the power that Nishida has, but the placement is equally as effective through the seam and deep into the court.The ace is coming thick and fast in this match.Fernando goes for the quick inside second.That's Flavio flying high there.",0.35215,"Sakita's serve finds its mark again, using placement rather than power to great effect. The ball goes through the seam and deep into the court, resulting in an ace that adds to Japan's advantage. In response, Fernando sends a quick inside second attack, which Flavio leaps high to try and block."
300073,329383,"Flavio, which is so athletic.Works hard to get around, Fernando.Running that drift pattern.floats away from the center and opens up that wrist away angle for the point.Zekita with the forward inside set, that doesn't work.So we'll have another go here with Yamauchi and they contain that Brazil and now they look to transition with Luccarelli ripping it off the block and Brazil starting to go through the gears here now after that slow start.",0.4885,"Flavio showed impressive athleticism as he dodged Fernando's block attempt, using a drift pattern to create space and opening up an angle for the point. The Japanese team tried another set with Zekita, but it didn't work out. They then transitioned with Yamauchi, successfully defending against Brazil and gaining momentum after their slow start, with Luccarelli getting the ball and Brazil starting to pick up speed."
330663,350829,"Now the Brazilian squad has to get momentum behind them, right?Nishita started this match out with some quality serving, but Luca Raleigh getting a chance to get activated in the front row.Scores on that first attack.Flavio stays on serve.No, he doesn't.Side out.Sends that on a little bit too deep.Both teams have been very, very aggressive with their serves, which you like to see.",0.3361,"Brazil gets momentum going after Flavio scores from the front row, but then Nishita's serving gives them a chance to respond. Luca Raleigh capitalizes on this opportunity and puts away an attack, making it 1-1. However, Brazil's serve attempt is too deep and they give up the ball, with both teams showing aggressive serving so far in the match."
352491,373841,"But it means you will get some deep long serves.You'll get some net serves.Here is Iran, Takahashi.21 in a few days time.full of youthful energy.Again, it's a really nice pick up on Luca Rally.Full of energy at 30 years old as well.Part of the Olympic gold medal winning score for Brazil.",0.3558333333333333,"Iran's Takahashi played aggressively with youthful energy, while Brazil's Luca Raleigh showed his vitality at 30 years old, part of the team that won Olympic gold. Meanwhile, a nice pick-up play by Luca Raleigh was executed successfully."
373861,400655,"That'll be a fun matchup.Luca Rally hitting against Nishita and vice versa, obviously.Luca Rally winning that first challenge.Fernando plays his club volleyball in Italy for Monza with serve.That's picked up off the floor and that'll go out to Nishida who tries a little bit of finesse and the block was there to contain it and goes for a big power swing instead this time.",0.4465666666666666,"Luca Rally successfully served first, followed by a challenge from Nishita, which Luca won. Fernando then played a serve for Monza in Italy, which was picked up by Nishida, who attempted a finesse block but was contained. Instead, Nishida opted for a powerful swing."
400675,417859,"And again, Talis can't deal with it.That's two that Nishida has zipped past the Brazil libero.Now Luca's got stuck at the net.It's the only blocker.Nishida sees the alley and flushes that ball off the libero.Here a Yamauchi.",0.2864,"Nishida successfully evaded Talis, marking the second time he bypassed the Brazilian libero. Meanwhile, Luca was stuck at the net as the sole blocker, unable to contain Nishida's attack. Nishida then capitalized on the alley and spiked the ball off the libero, followed by a shot from Yamauchi."
423965,439923,"It's picked up by Thales.And the lovely angle taken there on the crosscourt from Luca Relli.Now, Luca Relli had ankle all day to attack as that Suka drifted past the antenna on this move.Luca Relli knows exactly what to do with that set.",0.2659666666666667,"Luca Relli hit a great pass to Thales, who received it and made a lovely crosscourt hit from an angle."
450635,475082,"Oh, my goodness, what a pick up that was.So that's going to be collected by Luccarelli backcourt and hello Well, you won't see that too often Lucas are come straight into the net This opportunity there is Lucas got a great deflection On his block however the connection between him and Fernando Not firing there",0.40745,"Luca Relli picked up a loose ball and passed it to Luccarelli in the backcourt. The subsequent attack was a well-placed shot from Lucas that sailed towards the net, but he was able to get a deflection on his block, although the connection with Fernando's attack wasn't effective."
477728,500196,"Nishida, and it's another sizzler it really is.That's sent backwards.Luccarelli setting from about five metres behind the back line.but they do keep it in play.Now Sekita has options and he'll send it to Otsuka.That doesn't come up with a winner either.This could be trouble.Yohan Delayal almost taking the head of Rantakashi off there, but he's kept it in play.",0.3744666666666666,"After Nishida's pass, Luccarelli sent it backwards from behind the back line, keeping the ball in play. Sekita then had options and decided to send it to Otsuka, who unfortunately couldn't come up with a winner. The ball was almost taken away by Yohan Delayal as he hit Rantakashi's head, but managed to keep it alive."
500216,520591,"And then they come up with the winner as well.That's typical Japan defense.Just send everything back.Yeah, great defense in the backcourt from Japan after a strong serve again from the inline.Both teams working really hard.Here's another dig.Just back over the net.Keep the rally going.",0.3395833333333333,"Japan's defense excelled, sending every ball back with ease, showcasing their typical strategy of keeping it simple and playing it safe in the backcourt. The Japanese team worked tirelessly to keep the rally alive, with a strong serve from Japan again being returned with another dig that kept the play ongoing."
521672,542754,"Lukareli has to step in and set.And it's a block that catches Wallace on the way out.That's a big bonus for Japan.Nishida.No.Brazil, very happy to see that one go long.",0.3513666666666666,"After a previous play, Japan's defense stepped up with a well-timed block by Lukareli, which allowed them to earn an important bonus point. The block caught Wallace off guard as he was trying to make his way out of the court, and Nishida then took advantage of the situation to score another point for Japan, much to Brazil's dismay who were hoping the ball would go long instead."
542774,571557,"Yeah, they are.Deep Saira leave, saying that she'd have missed that serve.Lucas at 10-11.Sekid has to scramble around and Otsuka has done really well because the three-man block had all data get set there and bad things could have happened but Tatsunori Otsuka rubbed it off the block an hour.",0.4797166666666667,"Deep Saira was saved by a good serve, which she said would've been missed. The score is now 10-11 with Lucas serving. After that, Sekid had to scramble and make a play, while Otsuka did well to prevent potential chaos from occurring after the three-man block got set, effectively ""rubbing it off"" in time."
572617,594338,"Japan escaping this one a great serve from Lucas to the corner and then a really well-formed three-man block, but Japan gets the side out Another really good serve Talies has to hoist that one up there and Luke Carelli Can't get a winner, but Yamamoto setting from behind his baseline and somehow that's been shoveled over goodness only knows how",0.3620166666666666,"Japan narrowly escaped a tough situation when Lucas served a great corner shot, which was blocked by a well-coordinated three-man block. However, Japan managed to score the point. On the next play, Talies had to hit a high-arcing serve, but Luke Carelli couldn't get a kill despite his effort. The ensuing pass went back to Yamamoto, who set the ball from behind the baseline and somehow got it over to his teammate, resulting in another Japanese point."
595415,619336,"Yoendilay, I can't find a winner, Sekita.As they go back in the system and did that catch the line?No, it did not.Otsuka goes too long.That's a missed opportunity, Japan.Yeah, it certainly is.Otsuka just misses the contact.Trying for the corner, but it was just long.",0.3986833333333333,"Japan struggles to capitalize on an opportunity as Yoendilay and Sekita exchange blows, ultimately unable to find a winner. The ball goes back in play and Otsuka attempts to make a crucial play, but his pass is too long and fails to connect with his teammate."
619356,647993,Wallace.He's put a little bit too much under that one as well.,0.4772833333333333,"Wallace served the ball and it went slightly underpowered, resulting in an easy receive for Japan."
648033,668508,"That really caught a thermal on the way over the net, didn't it?A bit of a tail in on that one.Pushed it way out of bounds.Uandy Leal, the Cuban born outside hitter, zings that one too deep and we're getting a rash of service errors now.",0.34125,"The serve was hit with great pace and caught some air over the net before falling short and going out of bounds. This is becoming a recurring theme as Uandy Leal's powerful serve has resulted in another error, adding to the team's growing tally of mistakes."
669991,692198,"Part of the reason for that is both these sides know you can't play safe at this level.You've got to do something.The borrow was set early on with two aces.And a response from Brazil.Now the service pressure continues.Sakita's serve is picked up by Leal, Fernando has to scramble around and that allowed the block to get set.And you know what, that might have been Ran Takahashi getting the final touch on that one.",0.3701166666666667,"The Cuban outside hitter Uandy Leal successfully received Sakita's serve, allowing Fernando to scramble and ultimately setting up a block opportunity that was potentially finished by Ran Takahashi of Brazil."
692659,714691,"That's a real bonus for Japan if Ran is getting block points.That is him as well.This ball has got to get covered by either Flavio or Lael.They're both standing there, watching it hit the floor.Hey, hey, let's get together here.Hey, let's get together here.The first thing is to hit two of them.",0.3672,"Ran Takahashi contributed to Japan's score with a block point, and then got another one, demonstrating his impact on the game. After that, Brazil struggled to cover a loose ball, which ultimately fell to the floor, leaving Flavio and Lael standing idle as Japan took advantage of the opportunity."
714711,740839,"To the miss, don't let go of the line.She can't let you go out, okay?To the left, on top of the line.He's marking the hand for him.It's a good marking.Keep it there.Okay?Get out of there.I'm going to close the Miolo of the block.Leave the risk for them.Well, here's what's happened in the last 10 points.",0.4354666666666666,"The opponent missed a serve, and Japan recovered the ball safely. The blocker then marked the attacker's hand closely, preventing any potential tips or blocks, and forced the attack to continue."
741419,763782,"Japan have opened up a nice healthy lead again.There's such an air of confidence about this Japan squad.We saw it in the volleyball nations league early this year and they went to the quarter-final stage, which was their best result.You know, they hosted their own Olympics, got to the quarterfinals there.They're suddenly banging on the door of being a top, top contender now.",0.3727166666666666,"Japan has taken a significant lead, exuding confidence as they continue to dominate. Their strong performance in the Volleyball Nations League earlier this year, where they reached the quarterfinal stage, is indicative of their growth into a top-tier team, building on their success at the Olympics where they also made it to the quarterfinals."
766807,797074,"Ooh, did Flavio get anything on that?No, he did not get a touch on the way through.Well, so far the middle attackers for Brazil not finding the court.Flavio trying for the hard angle, but missing wide.Sekita's serve is not particularly well handled, but the down the line from Wallace is an absolutely drill that Yamamoto, who just has to send it spinning off at a crazy angle.",0.50445,"Japan's middle attackers struggled to find the court, and Flavio missed his attempt at a hard-angle shot. Brazil's middle attackers were also unsuccessful in their attacks. Meanwhile, Sekita's serve was not well handled by Japan, but Wallace responded with an impressive down-the-line attack that Yamamoto had difficulty returning."
797214,821446,"The set from Fernando and Wallace able to turn that one hard down the line.So that'll set up Flavio, Brazil with points to make up here.Sekita will pick that up nicely.Nishida is also picked up by Wallace in the backcourt there and now Wallace can try and scuff that one over and how many touches are they going to have?",0.4038666666666666,"Brazil's Fernando and Wallace combined for a successful set, setting up Flavio to potentially score. Sekita then cleanly received the pass, followed by Wallace picking up Nishida in the backcourt, allowing him another attempt at scoring."
821466,842090,Bit unlucky for Japan that time it was a good block move they got some hands on that attack as well just not able to play it cleanly out of the netFlavio serving Otsuka.Nice from Miyamachi.,0.3437333333333333,"Japan's block attempt was unsuccessful, despite getting their hands on the attack, and they were unable to play it cleanly. Afterward, Flavio served to Otsuka, who then made a nice pass to Miyamachi."
842190,860878,"Good execution.Well, that all started with the pass.Japan hasn't been able to run their middles very much, but they got a perfect pass and system that time.They score the point through the middle.Brian Takahashi.Well, graduated from college, went straight into the Italian League, playing for Padua.",0.3114666666666666,"Japan scored a point through the middle after a well-executed play that started with a perfect pass, allowing them to finally run their middles successfully. The score was sealed by Brian Takahashi's contribution."
862732,882717,"Boom.Joanne Leal sends that back with interest.He's in Italy as well.We'll be with Pierre Chinz the next season.Just a perfectly timed, big attack.You see both blockers jumping on Lucas.Leal can take care of that one all day long.So Brazil staying close here.Fernando can get him a bit closer.",0.3330833333333333,"After Joanne Leal's powerful attack, Japan's Lucas was blocked by two opponents, but Leal was able to send the ball back with ease, showcasing his skill in Italy like his teammate Brian Takahashi. This big attack helped Brazil stay close in the game, and Fernando was later able to get closer to scoring again."
883658,898560,"He's getting a nice pass, but an even better block from Lucas.Lucas was just one of the best middle blockers in the world.So experienced.What a reaction.Just gets his hands up and over the net and the monster block.",0.2483666666666666,"Brazil's attacker got a good pass, but Lucas delivered a tremendous middle block to deny the attack, showcasing his impressive skills as one of the world's top middle blockers. His quick reaction allowed him to get his hands up and over the net, resulting in an exceptional defensive play."
904666,924488,"So Fernando looking to level this one up.Good response, this from Brazil.That's got to be good and is.I tell you what, Suga's found the corner there beautifully.Just clipping that baseline.Yeah, Suga's had a good start to this match.It's his third point here in this opening set.Yeah, he's the guy that's in the starting line-up with Ishikawa on the bench, the captain.",0.3303666666666666,"Fernando responded well after the previous play, making it a good move by Brazil. Suga then made a great shot, clipping the baseline and scoring his third point of the opening set, showing off his skills as the starting player alongside Ishikawa, who is on the bench and serves as captain."
925349,941288,"We saw Ishikawa come off the bench against Kata, and I know you were talking to Coach Philippe Blaine earlier in the week, and he alluded to just the management of some niggling injuries for Ishikawa, so they're not gonna work him too hard this early in the tournament.It is all about managing your players through a tournament like this.",0.26565,"Ishikawa came off the bench against Kata and Coach Philippe Blaine has been managing his player's workload due to niggling injuries, prioritizing injury management over early tournament intensity."
945754,967105,"So whether we see Ishikawa or not remains to be seen.What he's not ready to be, obviously, is a workhorse at the moment.And that means others can step up like Otsuka.Yamachi with serve.That's gone.Now, Fernando and Lucas communicating to each other after that play.",0.35585,"Ishikawa's availability for the game remains uncertain due to his ongoing injury issues, which limits his role in the team. As a result, other players like Otsuka are stepping up to fill the gap. Meanwhile, Fernando and Lucas are having a discussion on the court after a recent play."
967446,987577,"Lucas asking for a little bit of a higher set, perhaps, but this time he's able to score the point.Listen, if Lucas is asking for something, Lucas is going to get it.drilled by Lukarelli, kept alive.Nishida with a clever push, Talies with the pancake to keep it alive as well.",0.3355166666666667,"Lucas scored a point after asking for a slightly higher set, and Nishida and Talies worked together to keep the ball alive with a clever push and pancake play, respectively."
987597,1006375,"And then the cross call from you, and now is perfect.The Brazil offensive, Jung and Orton is starting to go through the gears here.But what a save to keep that ball alive by the back row player for Brazil.Tied at 18-all and Japan decides to use a timeout.",0.3129666666666666,"Japan's momentum stalled as Brazil's offense clicked into gear, with Jung and Orton working together effectively. A crucial save was made by Brazil's back-row player to keep the ball alive, leaving the score tied at 18-18, prompting Japan to call a timeout to regroup and reassess their strategy."
1007857,1028663,"It's OK.It will be a fight at TGM.We don't forget nothing about the coverage, about everything ready for this.OK?All right, good.Don't close, huh?At TGM, we don't close fight.",0.3467666666666666,"The match remains intense and competitive as Japan tries to gain an advantage, refusing to give up despite being tied at 18-all. The energy is palpable as the teams continue to battle it out, with no signs of surrender or backing down."
1028683,1051985,"And you keep fighting.High and low.OK?All right, go.TGM!Philippe Blaine keeping it simple.It's another good response from Brazil.That's twice Japan have had a lead in this match, right at the beginning of course.And they had a healthy looking one at the midpoint of this set.",0.3883666666666666,"Brazil responded well to the pressure, with Philippe Blaine playing a key role in their success. Japan had taken an early lead and also held a strong advantage midway through the set, but Brazil managed to come back both times, keeping the match close and intense throughout."
1052045,1073113,Only to see Brazil comes charging back at them.Let's see what Luca Relli can do here.picked up off the floor.Nishida is blocked out of it.,0.3511333333333333,"Brazil fought back after Japan's lead, with Luca Relli getting involved in the play, and he even picked up a loose ball on the floor while Nishida was unable to get in the way."
1073194,1092931,"That's a wonderful one-handed dig from Ran Takahashi.And it's just got to be pushed over there from Otsuka, who covered a lot of ground.But him coming for another dig from Takahashi.And then he's just blocked out of it, though, is Otsuka.Great defense from Brazil.They're all round.Great defense from Japan.Great blocking from Brazil.",0.3289499999999999,"Ran Takahashi makes an impressive one-handed dig, and the ball is pushed to Otsuka who covers a lot of ground to get there. However, he's unsuccessful in his second attempt at digging the ball as it's blocked by Brazil, with great defense being showcased on both sides."
1094112,1113589,Could have gotten the first one.But Wallace comes through with a huge block this time on Otsuka.scoring the point and finishing off that rally.Natsuka will sit down as Ishikawa will come in.That's probably not a surprise.,0.3246166666666666,"Ran Otsuka was blocked by Wallace, which resulted in a scoring opportunity for Brazil and ended the rally. This led to Natsuka being replaced by Ishikawa, a substitution that wasn't unexpected given the situation."
1116133,1134552,"We knew we were going to see him at some point in this match, Nick.and they go straight after the new player, as you would, of course.You'll have a chance at swinging at this, and he just runs into the block, but there's too much on it.The block can't control it, so Ishikawa announces his arrival onto court in style.",0.3069833333333333,"Ishikawa enters the game and immediately gets targeted by the opposing team. He attempts to make a play, but it's blocked and bounces back out of bounds, announcing his arrival with a memorable entrance."
1139659,1160729,"First swing of the match, off the bench comes in and blasting it off of Lucas' hands, and out of balance.He's looking for it every time, using the sheet.He's not looking at containing serves.He's looking to put the pressure on every time.He has the green light, as we say, to get after it as hard as he can every single time.",0.3511666666666667,"The new player makes his first appearance in the match and hits a powerful serve that Lucas struggles to handle, leaving him off balance. The server continues to use his momentum to attack with every serve, focusing on putting pressure on the opponent rather than just containing them. With the green light to go all out, he's determined to make an impact from the start."
1163974,1190039,"Lucas, 2019, with a little net skimmer from him.Sekita sends it to Ishikawa.That one's going to fall perfectly, perfectly for Yohande Layal.Sometimes you need a bit of luck, and I'll tell you, you're in Leal at that on a plate.Well, Wallace isn't going to get credit for the block, but the deflection is just as good as it goes right to Leal, and he cleans it up.",0.4344166666666667,"Lucas sends a net-skimming serve to Ishikawa, who then passes it to Sekita. The ball falls perfectly for Yohande Layal, who benefits from some luck. Wallace attempts to block the attack, but instead deflects it to Leal, who secures the point."
1190059,1208112,"Lucas, Brazil going through the gears and put themselves in a good position here.That was Ishikawa running into the containing block, but that's better.Fernando would love to have that one back.It got past the block, and I don't think Fernando was expecting that.Oh, Fernando kind of charges in.",0.3008833333333333,"Brazil successfully regained possession after Lucas' pass, putting them in a good position. Ishikawa's attempt at a block was unsuccessful as the ball went around him. Fernando had a chance to make a play on the ball but misjudged it, allowing the opponent to gain an advantage. Fernando then aggressively tried to recover the situation."
1211059,1232469,"Catches him up high.But a missed defensive opportunity that time.Japan still looking for the point on serve to get him back level.Ishikawa.serves Leal, who handles that one perfectly.We looked at what an angle.What an angle he took there.I mean, Takahashi was there to cover it, but just couldn't get a play on that at all.",0.3568333333333333,"Lucas' Brazil player catches the ball high in the air, but Japan misses a defensive opportunity to score a point. Japan continues to search for a way to level the score on serve. Ishikawa serves the ball to Leal, who makes a perfect reception. Takahashi attempts to make a play on the ball, taking an impressive angle, but is unable to get a hand on it."
1232529,1253185,"It was too good.This angle, challenging the middle, blasting it past the left hand.An extreme angle from Leal on the left side here.Yeah, Ranzakashi's got that cover.He read it all the way.You just couldn't do anything with it.Wallace, another powerful serve.That'll go inside.Wallace picks that up on the dig.Fernanda goes back side.",0.3442666666666666,"Leal delivered a strong serve to the left side, which was challenging and went past the left hand of the opponent. Ranzakashi read the play well and covered it, but unfortunately couldn't make a play on it. Wallace then served again, this time placing the ball inside the court where Fernanda picked it up on the dig, and she quickly went backside with the ball."
1253325,1274112,"Long crosscourt sat there to Luca Relli.And Fernanda, oh, just a bit out of sync there.Will it get away with it?Yeah, Flavio.No, it's still going.Well, that's Japan's scrambling defense at its best.But in the end, it's a really clean cross-court kill from Yohande Leal that ends that rally.",0.34645,"Luca Relli received a long crosscourt serve and Fernanda was slightly out of sync, but Relli couldn't capitalize on the mistake as Japan's scrambling defense intercepted the attack. However, in the end, Yohane Leal came up with a clean cross-court kill to conclude the rally."
1274372,1297978,"Yeah, a great swing on the right side.Some chaos throughout that play, but Leal getting stuck on the right side because they switched their blockers.Fernando went to the left, Leal to the right.That's why he's attacking on the right side on the counter attack.This might just be a catch of breath time out.So, both sides, they make pressure outside the block.",0.3934333333333333,"After a chaotic play, Yohande Leal found himself stuck on the right side due to Japan's blockers switching sides, with Fernando going left and Leal right. This led to Leal attacking on the counter-attack from the right side. The rally ended in a timeout for both teams, who had been putting pressure outside the block throughout the play."
1297998,1318410,"That's my king.So, you should be ready for taking this, huh?Hey, we tried to come to a quick, a quick, a quick pipe and open side.Ah, because big, it was working so much.",0.3402,"The team successfully executed a play, with the player scoring a point. The play involved a quick attack down the outside, targeting an open spot on the opponent's side of the court."
1325208,1344077,"Now Brazil's offense is starting to heat up in the later stages of the set number one now.And the blocking of Japan has got to get a little tighter.Not a lot of three-man blocking.And that wing blocker comes off to play defense.But if they're not going to block, they've got to play some solid defense behind the two-man blocker.",0.3144833333333333,"Brazil's offense began to gain momentum in the later stages of set one, prompting Japan's defense to make adjustments. Japan struggled with three-man blocking, often leaving their wing blockers to defend instead. As a result, they need to focus on playing solid defense behind their two-man blockers to mitigate Brazil's newfound offense."
1355903,1377793,"Well, can Japan come back from this?First to 25, remember, with a two-point margin.So Wallace looking to take it to set point.That's a nice pick-up.And there we go, game banner block.I'll tell you, Flavio with Leal alongside him just wiping out Nishida.",0.3648333333333333,"Brazil's Wallace is leading the charge, trying to take the set to 25 with a two-point margin. Japan struggles to come back as Brazil's defense is solidified by a nice pick-up play and then a game-saving block by Flavio and Leal that wipes out Nishida."
1377993,1399957,"Now we're going to see a challenge here come in from Japan.That block had so much pace behind it off of Flavio, but it catches the sideline for sure.It looks like on that replay.But when it's set point, you might as well chuck a challenge down.I agree with you.",0.3660666666666666,"Japan issued a challenge to review the previous play after a block by Flavio and Leal against Nishida, questioning whether the ball caught the sideline or not. The challenge was accepted, and the replay showed that the block did indeed catch the sideline, confirming the original call on the court."
1399997,1418869,"That looked like it caught plenty.Yeah.That's one of those, what the heck challenge is, isn't it?Well, I mean Japan has to challenge that one.It's a good challenge at this stage of the set.Set point then.",0.3145333333333333,"Japan successfully challenged the previous play and won the review, which was a crucial moment in the match as it came down to set point."
1420511,1442324,"Wallace looking to serve it out, that slow start from Brazil.A distant memory here, side out, but Japan will need three points on their own serve.They'll switch it up and bring in Kento Miyada.There's a precious situation for Miara.",0.36355,"Japan brought in Kento Miyada to serve after a strong performance by Wallace, who helped the team overcome an early slow start from Brazil. The Japanese team now needs three points on their own serve to win the set, and they are looking to capitalize on this opportunity with Miyada serving. Miara is in a crucial situation, trying to help her team secure the set victory."
1442945,1462874,"Off the bench.Come on, save three set points.It's a decent effort with the first one.Somehow, Lucarelli's got under it along with Thales, and he's well off net there, Yoandilay.And still finds a clean winner.I mean, Brazil just powering their way through that set the longer it went on.",0.33215,"Brazil successfully saved three set points as Japan's attempt to win the set was thwarted. The first save came with decent effort, but Lucarelli and Thales managed to get under the ball alongside Yoandilay, who despite being well off net, hit a clean winner to keep Brazil alive. As the set went on, Brazil gained momentum and ultimately prevailed."
1463074,1495851,"And from a slow start, Brazil started to crank it up, and once they did,Covered that second lead that Japan had they, but they won that set pulling away.Yeah, they found themselves down by three points twice in this opener.But once they regained the lead, it didn't give it up and lay out with a huge swing here to finish off set number one high off the hands.",0.5462833333333333,"Brazil struggled initially, but gained momentum and eventually took control of the set after being down by three points twice, finally finishing strong with a big swing to win set number one."
1497586,1517810,"That's as sweet as you like.And Renan Dalzotto says, that's how we do it.That's how we roll.So a slow star, but a very strong finish.Brazil securing the first set.25 to 21.And this is how they did it by the numbers.",0.3370666666666667,"Brazil finished strongly to take the first set 25-21 after a slow start, with Renan Dalzotto celebrating their dominant finish and securing the set victory."
1518010,1538573,"Three to two blocks, five aces with three going to Japan.The attack points very heavily favoring Brazil.Great block in defense and great serving in that opener.Setting the table for what was expected to be a very exciting match, Nick.",0.3427166666666666,"Brazil dominated the opening set, blocking Japan's attacks three times and serving five aces, including three that went to Japan. The attack points heavily favored Brazil, while their strong block and serving allowed them to control the game."
1538633,1555521,And can't really complain about that first set from both sides.Good quality volleyball all the way around.,0.2814666666666667,The first set was a high-quality affair with both teams displaying good volleyball skills throughout.
1560074,1577543,So placement for Brazil.Looking like this.A little more heavy to that left side of the court going after that front row outside hitter that's got to pass.,0.29115,"Brazil is focusing on placing their sets to the left side of the court, targeting their front row outside hitter who needs to make a pass."
1591765,1618465,"And for Japan, looking like this.Once the big hitter's got into that stride, Wallace and Leal, in particular, Lukarelli.",0.445,"The Japanese team had a strong attack opportunity with their outside hitter getting into a good rhythm, with Wallace, Leal, and Lukarelli being key players involved."
